FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
13255,"Spalding County, GA",11.4,9.5,8.2,7,5.9,4.8,4.2,7.5,4.7,"$51,019 ",81.20%
13257,"Stephens County, GA",9.1,7.7,6.6,6,5.3,4.6,3.9,6.3,4.3,"$46,626 ",74.20%
13259,"Stewart County, GA",8.6,7.5,7,6.5,6,4.8,4.4,5.6,3.8,"$40,205 ",64.00%
13261,"Sumter County, GA",11.2,9.5,8.5,7.7,6.8,6,4.9,7.4,5.7,"$42,653 ",67.90%
13263,"Talbot County, GA",9.2,7.9,7.9,6.8,6.2,5.1,4.6,6.7,4.5,"$44,458 ",70.80%
13265,"Taliaferro County, GA",11.9,11,8,6.9,6.7,5.4,5.3,7.1,5,"$28,004 ",44.60%
13267,"Tattnall County, GA",7.9,7,6.3,5.4,5,4.3,3.9,4.3,3.2,"$45,191 ",72.00%
13269,"Taylor County, GA",11.6,10.3,9.3,7.6,8.8,6.6,4.3,7.2,5.7,"$38,783 ",61.80%
13271,"Telfair County, GA",11.3,9.8,8.8,8.5,7.9,6.8,9.6,9.8,7.2,"$38,161 ",60.80%
13273,"Terrell County, GA",9.7,8.1,7.6,6.6,6,6.8,5.2,7.5,6.2,"$39,433 ",62.80%
13275,"Thomas County, GA",9,8.8,7.4,6.3,5.8,4.7,4.1,6.2,4.2,"$57,969 ",92.30%
13277,"Tift County, GA",8.4,7.3,6.2,5.5,4.7,4,3.4,5.1,3.4,"$45,093 ",71.80%
13279,"Toombs County, GA",10.9,9.9,8.9,7.9,6.6,5.9,5,6.5,4.5,"$42,165 ",67.10%
13281,"Towns County, GA",10.5,9.2,8,6.9,6.6,5.7,5,6.6,3.9,"$43,640 ",69.50%
13283,"Treutlen County, GA",12.2,10.6,8.6,7.8,6.8,5.9,5.3,6.1,4.3,"$40,834 ",65.00%
13285,"Troup County, GA",8.6,7.4,6.2,5.2,4.4,3.7,3.3,7.2,4.4,"$51,799 ",82.50%
13287,"Turner County, GA",9.9,8,6.9,6.6,5.7,5.1,3.9,7.3,6.4,"$46,042 ",73.30%
13289,"Twiggs County, GA",13.7,11.2,9.3,8.8,7.6,6,5.8,7.4,5.1,"$46,444 ",74.00%
13291,"Union County, GA",7.8,6.6,5.4,4.8,4.5,3.7,3.3,4.4,2.7,"$50,653 ",80.70%
13293,"Upson County, GA",9.8,8.9,7.4,6.5,5.5,4.4,3.7,6.5,4,"$48,233 ",76.80%
13295,"Walker County, GA",8,7.2,6.1,5.6,4.6,3.9,3.7,4.9,3.1,"$49,388 ",78.60%
13297,"Walton County, GA",7.7,6.5,5.5,5,4.4,3.6,3.2,5.3,3.2,"$71,390 ",113.70%
13299,"Ware County, GA",9.3,7.9,6.6,5.5,4.6,4,3.8,5.5,3.7,"$39,994 ",63.70%
13301,"Warren County, GA",11.9,9.7,7.9,7,5.9,5,4.9,6.7,4.7,"$40,422 ",64.40%
13303,"Washington County, GA",9.6,8.1,7.1,6.4,5.9,5.1,4.3,6.4,5,"$43,309 ",69.00%
13305,"Wayne County, GA",9.7,8.8,7.4,6.9,5.7,4.7,4.2,5.5,3.7,"$48,885 ",77.80%
13307,"Webster County, GA",9.2,8.6,9.5,8.7,7.6,6.3,5.1,5.6,4.4,"$45,381 ",72.30%
13309,"Wheeler County, GA",12.6,12.4,11,9.1,9,7.4,7.5,7.2,5.5,"$36,671 ",58.40%
13311,"White County, GA",7.3,6.2,5.3,4.7,3.9,3.1,2.8,4.3,2.5,"$58,831 ",93.70%
13313,"Whitfield County, GA",9.5,7.9,6.5,6.2,5.5,4.8,4.6,7.2,3.9,"$56,249 ",89.60%
13315,"Wilcox County, GA",11,9.2,8,7.3,5.8,5.3,4.6,6,4.6,"$40,856 ",65.10%
13317,"Wilkes County, GA",11.1,9.3,7.4,6.7,5.7,4.7,4.8,6.7,4.7,"$42,071 ",67.00%
13319,"Wilkinson County, GA",10.3,8.7,7.4,6.4,5.7,4.5,3.9,5.3,4.2,"$44,068 ",70.20%
13321,"Worth County, GA",9.2,7.9,6.6,5.9,4.9,4.5,4,5.4,4,"$47,907 ",76.30%
